horizon_name,horizon_steps,horizon_seconds,input_len_steps,input_len_seconds,split,episode_count,windows_per_episode,total_windows,last_start_index,last_input_index,last_target_index
3s,30,3.0,100,10.0,test,150,2871,430650,2870,2969,2999
3s,30,3.0,100,10.0,train,700,2871,2009700,2870,2969,2999
3s,30,3.0,100,10.0,val,150,2871,430650,2870,2969,2999
6s,60,6.0,100,10.0,test,150,2841,426150,2840,2939,2999
6s,60,6.0,100,10.0,train,700,2841,1988700,2840,2939,2999
6s,60,6.0,100,10.0,val,150,2841,426150,2840,2939,2999
30s,300,30.0,100,10.0,test,150,2601,390150,2600,2699,2999
30s,300,30.0,100,10.0,train,700,2601,1820700,2600,2699,2999
30s,300,30.0,100,10.0,val,150,2601,390150,2600,2699,2999
60s,600,60.0,100,10.0,test,150,2301,345150,2300,2399,2999
60s,600,60.0,100,10.0,train,700,2301,1610700,2300,2399,2999
60s,600,60.0,100,10.0,val,150,2301,345150,2300,2399,2999
120s,1200,120.0,100,10.0,test,150,1701,255150,1700,1799,2999
120s,1200,120.0,100,10.0,train,700,1701,1190700,1700,1799,2999
120s,1200,120.0,100,10.0,val,150,1701,255150,1700,1799,2999
