split,sensor,mean,std,min,max,range
test,Accelerometer,0.047803908226779976,0.03227493336537666,0.0,0.10000000149011612,0.10000000149011612
test,GasLeak,494.261942626395,326.3876551019215,0.0,1007.0,1007.0
test,Pressure_1,1.517852319740954,1.079430459897565,0.0,3.25,3.25
test,Pressure_2,1.58403062472998,1.051458392384419,0.0,3.25,3.25
test,Temperature_1,52.016821028100246,36.52167739789831,0.0,110.0,110.0
test,Temperature_2,52.593202363922806,36.08393570203363,0.0,110.0,110.0
train,Accelerometer,0.04774079840678128,0.03296972291781429,0.0,0.10000000149011612,0.10000000149011612
train,GasLeak,500.8926857200579,336.7141852772667,0.0,1007.0,1007.0
train,Pressure_1,1.6053938830875636,1.0576362172173577,0.0,3.25,3.25
train,Pressure_2,1.5528114247208238,1.0753921335233978,0.0,3.25,3.25
train,Temperature_1,52.22295679842505,36.354404703518384,0.0,110.0,110.0
train,Temperature_2,52.53002568397949,36.488684096460844,0.0,110.0,110.0
val,Accelerometer,0.046996923403852205,0.03311928363762038,0.0,0.10000000149011612,0.10000000149011612
val,GasLeak,488.3946140995778,328.8095177295596,0.0,1007.0,1007.0
val,Pressure_1,1.6020821821025542,1.0880800654288763,0.0,3.25,3.25
val,Pressure_2,1.5373940015685308,1.0625488442498212,0.0,3.25,3.25
val,Temperature_1,55.38830377109448,34.96314015591287,0.0,110.0,110.0
val,Temperature_2,51.77527239251304,36.5561115848923,0.0,110.0,110.0
