model,horizon_name,horizon_steps,epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
dense,3s,30,1,0.04783696308732033,0.13678602874279022,0.21871662139892578,0.013319428078830242,0.08786729723215103,0.11540982872247696,0.0010000000474974513
dense,3s,30,2,0.011730944737792015,0.08274858444929123,0.10830948501825333,0.010928673669695854,0.07980335503816605,0.10454029589891434,0.0010000000474974513
dense,3s,30,3,0.010020812973380089,0.076448954641819,0.10010401159524918,0.010656583122909069,0.07880128175020218,0.10323072969913483,0.0010000000474974513
dense,3s,30,4,0.009222693741321564,0.0732317566871643,0.09603485465049744,0.009143664501607418,0.07271752506494522,0.09562250971794128,0.0010000000474974513
dense,3s,30,5,0.008921400643885136,0.07194700092077255,0.09445316344499588,0.010785923339426517,0.08071660250425339,0.10385529696941376,0.0010000000474974513
dense,3s,30,6,0.008561045862734318,0.07032664865255356,0.092525914311409,0.008447560481727123,0.0695066750049591,0.09191060811281204,0.0010000000474974513
dense,3s,30,7,0.008296714164316654,0.06903493404388428,0.09108629822731018,0.008176478557288647,0.06880449503660202,0.09042388200759888,0.0010000000474974513
dense,3s,30,8,0.008199822157621384,0.06848565489053726,0.09055286645889282,0.008441843092441559,0.06960611790418625,0.09187950193881989,0.0010000000474974513
dense,3s,30,9,0.008048639632761478,0.06792937964200974,0.08971421420574188,0.008123588748276234,0.06762208789587021,0.09013095498085022,0.0010000000474974513
dense,3s,30,10,0.0070757451467216015,0.06279054284095764,0.08411744982004166,0.0075402287766337395,0.06480815261602402,0.08683449029922485,0.0005000000237487257
